Date,USDPEN Bid 11 AM,USDPEN Buy 11 AM,USDPEN Bid 1:30 PM,USDPEN Buy 1:30 PM,Interest Rates - Repo Operations Total,Copper Price (cUS$ per pound),EMBIG Peru (variation in bps)
2004-02-02,3.5055,3.5075,3.5015,3.502,2.53571428571429,115.2125,397
2004-02-03,3.4966,3.497,3.4965,3.497,2.5278125,115.5527,379
2004-02-04,3.493,3.4935,3.489,3.49,2.52675675675676,116.9134,371
2004-02-05,3.493,3.4933,3.4931,3.494,2.52847170450695,117.4351,377
2004-02-06,3.4913,3.4914,3.492,3.4925,2.54,116.7093,365
2004-02-09,3.49,3.4907,3.4896,3.49,2.54000000000001,118.8185,359
2004-02-10,3.4854,3.4859,3.4835,3.4847,,118.5237,359
2004-02-11,3.4873,3.4874,3.4867,3.487,,118.2515,361
2004-02-12,3.4905,3.4915,3.489,3.4893,,122.8328,353
2004-02-13,3.4905,3.491,3.4898,3.4903,2.53000000000001,123.808,353
2004-02-16,3.4815,3.4824,3.478,3.479,2.54,125.5997,353
2004-02-17,3.475,3.4756,3.4752,3.476,2.57,128.7976,343
2004-02-18,3.4746,3.4748,3.4705,3.471,2.51,135.3066,341
2004-02-19,3.4719,3.4721,3.4741,3.475,2.48,130.816,349
2004-02-20,3.4752,3.4755,3.4748,3.4752,2.49,131.0882,352
2004-02-23,3.4767,3.4769,3.4746,3.475,2.5,130.5439,354
2004-02-24,3.4736,3.4739,3.4728,3.4731,2.46,131.8139,356
2004-02-25,3.4737,3.474,3.4738,3.474,2.45,136.1231,361
2004-02-26,3.4741,3.4743,3.4732,3.4735,2.53000000000001,133.7644,359
2004-02-27,3.4725,3.4729,3.4726,3.473,2.56000000000001,135.488,371
2004-03-01,3.4715,3.4717,3.4719,3.4721,2.53,138.7993,364
2004-03-02,3.4719,3.472,3.4745,3.475,2.55,138.5725,365
2004-03-03,3.4749,3.4754,3.4748,3.475,2.54,137.7106,364
2004-03-04,3.4745,3.4747,3.4747,3.4749,2.52,132.585,358
2004-03-05,3.4738,3.4739,3.4735,3.4737,2.54000000000001,131.4057,361
2004-03-08,3.458,3.46,3.4656,3.4685,,132.6304,347
2004-03-09,3.458,3.46,3.4656,3.4661,,128.5027,349
2004-03-10,3.464,3.465,3.465,3.466,,130.0449,348
2004-03-11,3.467,3.469,3.462,3.463,,131.1336,359
2004-03-12,3.461,3.463,3.461,3.462,,133.1067,364
2004-03-15,3.46,3.461,3.461,3.463,,137.8467,362
2004-03-16,3.464,3.465,3.464,3.466,2.50000000000001,137.8921,367
2004-03-17,3.465,3.466,3.466,3.467,2.48,138.7993,361
2004-03-18,3.465,3.466,3.463,3.464,2.51000000000001,138.4364,356
2004-03-19,3.463,3.464,3.459,3.46,,139.525,351
2004-03-22,3.462,3.463,3.458,3.46,,140.3868,354
2004-03-23,3.458,3.459,3.456,3.457,,136.4406,355
2004-03-24,3.46,3.462,3.46,3.462,2.51000000000001,138.5725,355
2004-03-25,3.461,3.462,3.46,3.461,2.52,136.9849,361
2004-03-26,3.458,3.46,3.461,3.462,,138.89,353
2004-03-29,3.459,3.46,3.459,3.461,,140.6136,353
2004-03-30,3.459,3.46,3.46,3.461,,140.8631,349
2004-03-31,3.459,3.46,3.459,3.46,2.55,139.1395,355
2004-04-01,3.458,3.46,3.458,3.459,2.54,141.0672,354
2004-04-02,3.456,3.457,3.456,3.457,2.57,140.8858,343
2004-04-05,3.457,3.458,3.457,3.458,2.63,137.8921,344
2004-04-06,3.457,3.458,3.459,3.46,,135.4427,340
2004-04-07,3.461,3.462,3.463,3.464,,137.2117,339
2004-04-08,,,,,,135.3973,338
2004-04-09,,,,,,,338
2004-04-12,3.463,3.464,3.461,3.463,,,338
2004-04-13,3.463,3.464,3.464,3.4645,,132.8799,337
2004-04-14,3.467,3.468,3.467,3.468,2.52,132.9933,332
2004-04-15,3.466,3.467,3.464,3.465,2.54,133.3108,346
2004-04-16,3.464,3.465,3.466,3.467,2.55,134.9437,344
2004-04-19,3.465,3.466,3.467,3.467,,143.7888,340
2004-04-20,3.468,3.469,3.468,3.469,,140.7497,344
2004-04-21,3.468,3.469,3.472,3.473,2.52,133.3562,346
2004-04-22,3.471,3.472,3.474,3.475,2.52,131.0882,336
2004-04-23,3.477,3.478,3.479,3.481,2.55466666666667,130.181,332
2004-04-26,3.482,3.484,3.484,3.485,2.55,129.7274,345
2004-04-27,3.486,3.487,3.478,3.479,2.53,130.6346,375
2004-04-28,3.483,3.484,3.491,3.492,2.53,125.2369,388
2004-04-29,3.482,3.484,3.481,3.482,2.54153846153846,123.4225,402
2004-04-30,3.483,3.484,3.483,3.485,2.53590909090909,124.8286,406
2004-05-03,3.486,3.488,3.486,3.487,2.54925925925926,,431
2004-05-04,3.482,3.483,3.483,3.484,2.55041883725776,127.6863,430
2004-05-05,3.482,3.483,3.478,3.479,2.54909090909091,127.2327,434
2004-05-06,3.485,3.486,3.484,3.486,2.49,128.9563,482
2004-05-07,3.49,3.492,3.486,3.487,2.50999999999999,125.4636,492
2004-05-10,3.49,3.492,3.492,3.493,,119.9979,552
2004-05-11,3.487,3.488,3.486,3.487,,122.1524,511
2004-05-12,3.487,3.489,3.488,3.489,,124.3297,515
2004-05-13,3.488,3.489,3.485,3.486,,124.375,510
2004-05-14,3.482,3.484,3.483,3.484,2.46999999999998,122.5153,460
2004-05-17,3.482,3.483,3.483,3.484,2.46999999999999,120.0205,451
2004-05-18,3.482,3.483,3.484,3.485,,116.7774,459
2004-05-19,3.482,3.484,3.486,3.488,2.47999999999998,120.202,465
2004-05-20,3.49,3.492,3.49,3.491,2.51,120.202,503
2004-05-21,3.488,3.489,3.492,3.493,2.49,124.7379,508
2004-05-24,3.494,3.495,3.492,3.493,2.46,125.1008,505
2004-05-25,3.492,3.493,3.491,3.492,2.42999999999999,125.2369,490
2004-05-26,3.491,3.492,3.49,3.491,2.57612903225806,125.7358,498
2004-05-27,3.487,3.488,3.487,3.489,2.56076923076922,126.6883,492
2004-05-28,3.487,3.488,3.487,3.489,2.56636363636363,128.3893,483
2004-05-31,3.486,3.487,3.487,3.488,2.5275,,495
2004-06-01,3.488,3.489,3.488,3.489,2.60140884756269,129.9542,495
2004-06-02,3.487,3.488,3.485,3.486,2.54,130.5439,486
2004-06-03,3.486,3.487,3.488,3.489,2.54,127.0059,484
2004-06-04,3.486,3.487,3.484,3.485,2.48,123.2864,468
2004-06-07,3.484,3.485,3.482,3.484,2.42,127.5502,442
2004-06-08,3.48,3.481,3.474,3.475,2.41999999999999,125.3729,416
2004-06-09,3.476,3.477,3.477,3.478,2.38999999999997,123.8307,430
2004-06-10,3.478,3.479,3.476,3.477,2.44999999999999,118.7505,438
2004-06-11,3.477,3.478,3.479,3.481,,117.299,438
2004-06-14,3.481,3.482,3.481,3.482,,118.6144,458
2004-06-15,3.477,3.478,3.475,3.476,,115.8475,453
2004-06-16,3.476,3.477,3.476,3.477,2.43999999999997,119.3402,449
2004-06-17,3.474,3.475,3.472,3.473,2.45999999999998,120.4741,446
2004-06-18,3.471,3.473,3.471,3.473,,119.2948,450
2004-06-21,3.472,3.473,3.472,3.473,,120.5195,440
2004-06-22,3.469,3.471,3.467,3.468,2.49999999999998,117.6165,438
2004-06-23,3.468,3.469,3.469,3.47,2.43999999999999,118.3196,428
2004-06-24,3.469,3.47,3.467,3.468,2.42999999999999,120.7463,431
2004-06-25,3.467,3.468,3.469,3.47,,122.5153,449
2004-06-28,3.47,3.471,3.471,3.472,,121.971,452
2004-06-29,,,,,,121.3586,445
2004-06-30,3.471,3.472,3.467,3.468,2.50999999999999,120.8597,450
2004-07-01,3.469,3.47,3.468,3.469,2.57,122.9689,456
2004-07-02,3.467,3.469,3.468,3.469,2.50999999999999,122.4699,450
2004-07-05,3.469,3.47,3.468,3.469,,125.509,450
2004-07-06,3.465,3.467,3.465,3.467,,124.8967,447
2004-07-07,3.463,3.465,3.461,3.462,,125.1235,445
2004-07-08,3.461,3.462,3.456,3.457,,124.307,456
2004-07-09,3.451,3.452,3.45,3.452,,127.0059,456
2004-07-12,3.446,3.447,3.437,3.439,,129.3645,452
2004-07-13,3.43,3.431,3.437,3.439,2.50999999999997,129.9542,450
2004-07-14,3.438,3.439,3.438,3.44,,127.5048,439
2004-07-15,3.437,3.438,3.436,3.438,,128.7749,429
2004-07-16,3.432,3.433,3.426,3.428,,131.9954,416
2004-07-19,3.432,3.433,3.422,3.423,,131.0882,410
